RH Level,Unit,Language Skill,Vocabulary Words,Thinking Map Skill,Reading Skill,Genres,Grammar Skill,Project,Phonics Skill
3,1. Happy to Help (Social Studies) Part 1,Retell a Story,"action, difference, gift, problem, receive, solution, kindness, need, understand, value, want",Plot,Preview and Predict,"Realistic Fiction, Poem",Complete Sentences,"Theme Theater, Write a Personal Narrative",Compound Words
3,1. Happy to Help (Social Studies) Part 2,Make Comparisons,"improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn",Make Comparisons,Monitor and Clarify,"Autobiography, Biography",More Subjects and Predicates,Oral Report,Syllable Division
3,2. Nature’s Balance (Science) Part 1,Ask and Answer Questions,"amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce",Compare and Contrast,Ask Questions,"Humorous Story, Riddle",Kinds of Sentences,"Theme Theater, Write a Summary",Vowel Sounds and Spellings: u_e
3,2. Nature’s Balance (Science) Part 2,Give and Carry Out Commands,"drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources",Cause and Effect,Ask Questions,"Science Article, Human Interest Feature",Compound Sentences,Narrative Presentation,Vowel Sounds and Spellings: oo
3,3. Life in the Soil (Science) Part 1,Give Information,"blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce",Sequence,Make Inferences,"Realistic Fiction, Haiku",Plural Nouns,"Theme Theater, Write an Article",Two- and Three-Letter Blends
3,3. Life in the Soil (Science) Part 2,Define and Explain,"city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique",Main Idea and Details,Make Inferences,"Nonfiction: Science Article, Blog",More Plural Nouns,News Report,"Plurals: -s, -es, -ies"
3,4. Let’s Work Together (Social Studies) Part 1,"Express Needs, Wants, and Feelings","advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward",Theme,Determine Importance,Realistic Fiction,Present-Tense Action Verbs,"Theme Theater, Write a Persuasive Essay",Syllable Division
3,4. Let’s Work Together (Social Studies) Part 2,Persuade,"agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain",Opinion and Evidence,Summarize,"Persuasive Article, Fable","Forms of be, have",Persuasive Presentation,"Vowel Sounds and Spellings: al, aw, au"
3,5. Mysteries of Matter (Science) Part 1,Describe Actions,"form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap",Character and Plot,Make Connections,"Play, E-mail, Web-based News Article",Adjectives and Articles,"Theme Theater, Write a Literary Response","Endings: -ed, -ing"
3,5. Mysteries of Matter (Science) Part 2,Describe Places,"ground, mixture, sand, water, wetland, area, combine, composition, firm, surface",Cause and Effect,Make Connections,"Science Article, Interview",Possessive Nouns/Adjectives,Interview,"Prefixes: in-, im-"
